City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,dzhebariki-khaya,62.2167,135.8,-35.58,100,99,0.22,RU,1675627077
328,port hedland,-20.3167,118.5667,27.03,83,6,1.54,AU,1675627077
329,great falls,47.5002,-111.3008,7.66,47,100,5.66,US,1675627060
330,guarapari,-20.6667,-40.4975,29.38,88,64,5.04,BR,1675627078
331,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675627078
332,hualmay,-11.0964,-77.6139,25.19,68,60,3.91,PE,1675627078
333,sargatskoye,55.6101,73.4972,-17.67,98,100,2.28,RU,1675627079
334,peniche,39.3558,-9.3811,13.09,69,3,2.17,PT,1675627079
335,navalmoral de la mata,39.8916,-5.5406,11.09,61,11,0.93,ES,1675627080
336,ust-maya,60.4167,134.5333,-41.72,100,100,0.84,RU,1675627080
337,nouadhibou,20.931,-17.0347,21.99,33,100,6.17,MR,1675627081
338,vidim,56.4088,103.1106,-12.73,97,100,1.81,RU,1675627081
339,kattivakkam,13.2167,80.3167,25.05,78,4,2.03,IN,1675627081
340,tessalit,20.1986,1.0114,21.94,11,100,4.01,ML,1675627082
341,dvinskoy,62.1535,45.1175,-21.71,100,100,1.04,RU,1675627082
342,novoilinsk,51.6829,108.7143,-24.03,100,81,0.59,RU,1675627083
343,kourou,5.1552,-52.6478,24.03,88,100,5.67,GF,1675627083
344,oum hadjer,13.2954,19.6966,26.56,10,87,4.17,TD,1675627083
345,lucea,18.451,-78.1736,28.92,71,3,2.96,JM,1675627084
346,birao,10.2849,22.7882,24.96,13,12,2.31,CF,1675627084
347,anloga,5.7947,0.8973,27.67,84,100,6.79,GH,1675627085
348,repatriacion,-25.5333,-55.95,32.56,26,100,3.18,PY,1675627085
349,oranjemund,-28.55,16.4333,17.5,94,99,4.82,NA,1675627085
350,bucerias,20.75,-105.3333,29.39,45,0,4.23,MX,1675627086
351,aland,17.5667,76.5667,22.88,23,0,3.27,IN,1675627086
352,west fargo,46.875,-96.9004,-6.1,74,20,2.06,US,1675627087
353,montlucon,46.3333,2.6,3.72,88,87,4.46,FR,1675627087
354,padilla,3.2204,-76.3139,30.76,50,50,0.4,CO,1675627088
355,tucuman,-26.8241,-65.2226,30.0,51,20,2.06,AR,1675626845
356,salisbury,51.0693,-1.7957,3.43,82,83,2.57,GB,1675627088
357,sukumo,32.9333,132.7333,3.94,61,100,2.19,JP,1675627088
358,raipur,21.2333,81.6333,17.75,21,0,0.88,IN,1675627089
359,sieradz,51.5958,18.7302,-3.75,88,81,2.24,PL,1675626815
360,paka,4.6374,103.4368,25.96,89,100,3.09,MY,1675627089
361,dzerzhinsk,56.2389,43.4631,-6.1,85,100,3.0,RU,1675627090
362,tarancon,40.0085,-3.0073,8.9,34,0,0.74,ES,1675627090
363,clyde river,70.4692,-68.5914,-24.87,58,100,7.2,CA,1675627091
364,graaff-reinet,-32.2522,24.5308,22.18,79,5,5.78,ZA,1675627091
365,bull savanna,17.8868,-77.5902,27.21,58,0,8.36,JM,1675627091
